Nama Kos,Lokasi,Fasilitas,Ratings,Harga per Bulan
Kost Rumah 5B,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,450000
Kost Mini Tipe B,Sukun,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,650000
Kost Yunanta Griyashanta Eksekutif P 406 Tipe A,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur",,1000000
Kost MT Haryono XI B 402,Lowokwaru,"Kasur, Akses 24 Jam",,400000
Kost Griyaqu,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,600000
Kost Papa Biru I,Lowokwaru,"WiFi, Kloset Duduk, Akses 24 Jam",,700000
Kost Pak Daman,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,550000
Kost Ibu Ida Jl Kendalsari,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,700000
Kost Bu Ida Candi Mendut,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,900000
Kost Ub Remujung 54F,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,570000
Kost Polinema,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,900000
Kost Muslim MT Haryono Tipe B Kecamatan,Lowokwaru,"WiFi, Kloset Duduk, Kasur",,700000
Kost Ani Tipe A,Lowokwaru,"WiFi, Kasur",,700000
Kost Muslim Rumah Ilmi 2 Tipe A,Sukun,"Kloset Duduk, Kasur",,730000
Kost 103,Lowokwaru,"Kasur, Akses 24 Jam",,550000
Kost Yoga Trianto Tipe A,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,600000
Kost Widara,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,700000
Kost Suhat 59 Tipe A,Lowokwaru,"WiFi, Kloset Duduk, Kasur",,900000
Kost Manggar,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,550000
Kost Kavling 15,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,540000
Kost Bu Wiwik 91,Sukun,"WiFi, Kasur, Akses 24 Jam",,600000
Kost Semi Paviliun Suhat,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,850000
Kost Griya Pelangi,Sukun,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,600000
Kost Sigura Gura Barat IV KSB,Sukun,"K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam",,1000000
Kost Soehat,Lowokwaru,"Kloset Duduk, Kasur, Akses 24 Jam",,600000
Kost Griya Eksekutif,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,1000000
Kost Muslim DX Dinoyo,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,650000
Kost Iwan Handoko,Lowokwaru,"WiFi, Kasur",,700000
Kost Ayu,Lowokwaru,"WiFi, Kasur",,400000
Kost Bu Wiwik Winarsih,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,500000
Kost Putra Kertosariro 72,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,917000
Kost Sutoyo Tipe A,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,550000
Kost Pak Gozali Tipe B,Lowokwaru,"Kasur, Akses 24 Jam",3.6,500000
Kost Pak Mantri,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,600000
Kost Bu Wulan,Sukun,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,650000
Kost Dewi,Blimbing,"K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam",,700000
Kost Zam Zam Reguler,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,700000
Kost Kerto Asri,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,750000
Kost Nur Soleha Oktaviani,Lowokwaru,"Kasur, Akses 24 Jam",,700000
Kost 53A Tipe B,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,508000
Kost Bu Ulfah,Lowokwaru,"WiFi, Kasur",,600000
Kost Soewarno,Lowokwaru,Kasur,,400000
Kost Pak Sukaryadi Tipe A,Lowokwaru,"K. Mandi Dalam, Kasur",,700000
Kost Pak Supardi,Lowokwaru,"WiFi, Kloset Duduk, Kasur",,450000
Kost Simp Neptunus Tipe A,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,650000
Kost Muslim Anam Tipe C,Klojen,"K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam",,750000
Kost Bantaran,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",5.0,500000
Kost Aditya,Klojen,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur",5.0,950000
Kost 3B Tipe A,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,700000
Kost Candi 321 Tipe B,Sukun,"WiFi, Kasur",1.5,520000
Kost Budi,Lowokwaru,"Kloset Duduk, Kasur",,500000
Kost New Sengguruh Tipe A,Sukun,"K. Mandi Dalam, Kasur, Akses 24 Jam",,850000
Kos Murtini,Lowokwaru,"WiFi, Kloset Duduk, Kasur",,500000
Kost Cengger Ayam Tipe A,Lowokwaru,"WiFi, Kasur",,850000
Kost Kosmea,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,600000
Kost Ardiand Tipe A,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,500000
Kost Bapak Arifin,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,500000
Kost Watugilang Tipe A,Lowokwaru,"Kasur, Akses 24 Jam",,430000
Kost Hijau 3A,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,500000
Kost Paviliun Kendalsari Tipe B,Lowokwaru,"K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam",,950000
Kost Warna Warni Poharin Tipe A,Sukun,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam",5.0,888888
Kost Cipto,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,450000
Kost Rumah Nusa Indah,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,800000
Kost Toko Herbal Wawan,Lowokwaru,"Kasur, Akses 24 Jam",,600000
Kost KR31 Baru,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,800000
